Item,Category,Serving Size (g),Calories,Cal. From Fat,Total Fat (g),Sat. Fat (g),Trans Fat (g)*,Chol. (mg),Sodium (mg),Carbohydrate(g),Dietary Fiber (g),Sugars (g),Protein(g),Vitamin A % DV,Vitamin C % DV,Calcium % DV,Iron % DV
Bacon (2 strips),Condiments,15,80,50,5,2,0,10,420,1,0,1,6,0,0,0,2
Chipotle Southwest Sauce,Condiments,21,100,90,10,1.5,0,5,160,1,0,1,0,0,0,0,0
Light Mayonnaise (1 T),Condiments,15,50,45,5,1,0,5,100,1,0,0,0,0,0,0,0
Mayonnaise (1 T),Condiments,15,110,110,12,2,0,10,70,0,0,0,0,0,0,0,0
Mustard yellow or deli brown (2 tsp.),Condiments,10,5,5,0,0,0,0,110,1,0,0,0,0,0,0,0
Olive Oil Blend (1 tsp.),Condiments,5,45,45,5,0.5,0,0,0,0,0,0,0,0,0,0,0
"Pepperoni, 3 slices",Condiments,18,80,60,7,2.5,0,15,400,1,0,1,4,0,0,0,0
Ranch Dressing,Condiments,21,110,100,11,1.5,0,5,200,1,0,1,0,0,0,0,0
"Sweet Onion Sauce, Fat Free",Condiments,21,40,0,0,0,0,0,90,9,0,8,0,0,0,0,0
Subway® Vinaigrette,Condiments,15,40,35,4,0.5,0,0,120,1,0,1,0,0,0,0,0
Vinegar (1 tsp.),Condiments,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbecue Sauce**,Condiments,21,35,0,0,0,0,0,170,9,0,9,0,0,4,2,2
Buffalo Sauce**,Condiments,14,5,0,0,0,0,0,400,1,0,0,0,4,0,0,2
Creamy Italian**,Condiments,21,80,60,7,1,0,0,180,4,0,4,0,0,0,0,0
Creamy Sriracha**,Condiments,14,40,30,3.5,0.5,0,5,240,2,0,1,0,2,4,0,0
Fire Roasted Tomato Sauce**,Condiments,21,80,70,8,1,0,0,210,1,0,1,0,2,0,0,0
Giardiniera,Condiments,28,80,80,9,1.5,0,0,340,1,0,1,0,0,0,0,0
Golden Italian**,Condiments,21,80,80,9,1.5,0,0,190,1,0,1,0,0,0,0,0
Gorgonzola Sauce**,Condiments,21,100,100,11,2,0,10,210,1,0,1,1,0,0,2,0
Guacamole**,Condiments,35,70,60,6,1,0,0,100,3,2,0,1,0,4,0,0
